Catalog #,Species,Personal ID,Latitude,Longitude,County,State,Prop of dorsum red,Prop of dorsum black,SVL (cm),TL (cm)
147032,C. coccinea (East),Cc470,25.38931,-80.58938,Dade,Florida,0.311141115,0.473858187,42.958,51.361
145184,C. coccinea (East),Cc471,25.43719,-80.70848,Dade,Florida,0.398022825,0.400041407,38.641,45.717
6947,C. coccinea (East),Cc4,25.5981,-80.3544,Dade,Florida,0.435125288,0.374600751,18.23967839,20.71784399
204332,C. coccinea (East),Cc157,25.66,-80.28,Dade,Florida,0.307688101,0.482656227,20.0715757,23.94568486
51-370,C. coccinea (East),Cc14,25.72,-80.27,Dade,Florida,0.373946901,0.425527256,26.5928583,30.90945364
300705,C. coccinea (East),Cc156,25.72,-80.27,Dade,Florida,0.445378196,0.322031689,28.24778833,33.78923202
300706,C. coccinea (East),Cc158,25.72,-80.27,Dade,Florida,0.440812301,0.320697222,11.00826811,13.02052541
210,C. coccinea (East),Cc7,25.7739,-80.1939,Dade,Florida,0.514898162,0.370476891,41.99975376,48.32990083
58917,C. coccinea (East),Cc45,25.77,-80.48,Dade,Florida,0.397751026,0.410245569,29.06343824,35.86388469
300707,C. coccinea (East),Cc161,25.81,-80.71,Dade,Florida,0.509700068,0.342100804,11.47360646,13.54043162
6977,C. coccinea (East),Cc5,25.81,-80.71,Dade,Florida,0.313150916,0.436925067,28.42336773,33.69840062
113947,C. coccinea (East),Cc397,25.754655,-80.94653,Monroe,Florida,0.380548108,0.429376427,40.284,46.756
6973,C. coccinea (East),Cc6,25.7464,-81.0333,Monroe,Florida,0.353923467,0.440185637,38.65490087,44.50422261
113948,C. coccinea (East),Cc398,25.76075,-80.99832,Monroe,Florida,0.440438814,0.379086174,27.073,31.87
169834,C. coccinea (East),Cc1155,25.7627,-81.0718,Collier,Florida,0.436500989,0.34844211,30.843,36.386
169835,C. coccinea (East),Cc1156,25.896,-81.262,Collier,Florida,0.458089916,0.347574295,39.37,43.527
6039,C. coccinea (East),Cc1068,25.930106,-81.438619,Collier,Florida,0.338198689,0.476336421,59.057,63.406
2194,C. coccinea (East),Cc11,26.36,-80.08,Palm Beach,Florida,0.445161433,0.35270526,29.03376199,33.56974558
2195,C. coccinea (East),Cc9,26.36,-80.08,Palm Beach,Florida,0.387423728,0.422464861,14.36535415,16.85963378
146501,C. coccinea (East),Cc336,26.0391,-81.0993,Collier,Florida,0.404998233,0.397802833,31.131,36.479
58916,C. coccinea (East),Cc44,25.94,-81.66,Collier,Florida,0.329786419,0.40140163,43.44701775,51.24140854
178375,C. coccinea (East),Cc296,26.02,-81.7,Collier,Florida,0.318807549,0.481864573,43.45105076,49.95382587
8600,C. coccinea (East),Cc335,26.1172,-81.7581,Collier,Florida,0.198454428,0.521092661,40.891,47.626
190386,C. coccinea (East),Cc238,26.22789,-81.68546,Collier,Florida,0.361361709,0.408779513,23.0962822,27.54134564
33145,C. coccinea (East),Cc124,26.77,-80.05,Palm Beach,Florida,0.224396508,0.547477718,47.0580229,49.15273282
