Catalog #,Species,Personal ID,Latitude,Longitude,County,State,Prop of dorsum red,Prop of dorsum black,SVL (cm),TL (cm),Prin1 (L. gentilis),Prin1 (C. coccinea)
91868,M.tener,Mt1,30.1,-97.27,Bastrop,Texas,0.412275549,0.446622031,66.44235159,71.91869612,-0.510344152,-0.912895267
91527,M.tener,Mt2,31.08,-93.78,Newton,Texas,0.535196023,0.323271163,56.54443731,64.39687917,2.379489039,2.482679177
91509,M.tener,Mt3,30.53,-96.18,Brazos,Texas,0.403735664,0.403946649,34.73225491,39.60313014,-0.094373176,-0.364621257
71226,M.tener,Mt4,28.05,-98.57,McMullen,Texas,0.303477735,0.463987347,62.00675984,69.85170458,-1.963170864,-2.513364451
90343,M.tener,Mt5,30.1,-97.28,Bastrop,Texas,0.416735045,0.388271948,54.13005524,58.40641454,0.242889408,0.034718356
77485,M.tener,Mt6,29.75,-95.38,Harris,Texas,0.45313943,0.375326836,51.95129458,58.93635825,0.814879204,0.679421822
77486,M.tener,Mt7,30.03,-97.68,Travis,Texas,0.479107494,0.373021318,66.8467023,72.32352177,1.139506767,1.033279309
91566,M.tener,Mt8,30.33,-96.22,Washington,Texas,0.452415181,0.37988691,47.03263921,54.19020385,0.751718173,0.600756002
70414,M.tener,Mt9,30.53,-96.18,Brazos,Texas,0.454650941,0.36228385,39.83582209,45.0868511,0.989133491,0.897555885
91607,M.tener,Mt10,27.18,-98.56,Jim Hogg,Texas,0.307947293,0.472371715,88.62174989,96.5799874,-2.012979439,-2.58683385
72258,M.tener,Mt11,30.22,-95.97,Waller,Texas,0.446307441,0.416568451,49.84896947,54.79453258,0.24042455,-0.035494658
72257,M.tener,Mt12,28.28,-99.27,La Salle,Texas,0.395597494,0.448340748,40.14090642,45.74762879,-0.721701293,-1.143803021
79437,M.tener,Mt13,29.45,-98.48,Bexar,Texas,0.435593393,0.374289219,26.47930661,30.05335715,0.626771654,0.480044537
79439,M.tener,Mt14,29.53,-98.6,Bexar,Texas,0.407661006,0.404487243,54.54313676,58.51028534,-0.056002744,-0.32473747
79959,M.tener,Mt15,29.82,-99.57,Bandera,Texas,0.415642457,0.371505329,63.39297765,72.90348445,0.432186658,0.277886267
79438,M.tener,Mt16,29.45,-98.48,Bexar,Texas,0.396116587,0.409482278,47.45927243,54.28768241,-0.248100378,-0.54280156
5216,M.tener,Mt17,30.4,-94.63,Hardin,Texas,0.482935802,0.360867593,53.29515414,57.47784804,1.329545517,1.266227977
5214,M.tener,Mt18,29.37,-95.12,Galveston,Texas,0.483189485,0.336821535,45.543816,52.63276505,1.621842961,1.637305883
5217,M.tener,Mt19,30.63,-96.33,Brazos,Texas,0.414276115,0.391782251,44.98729063,48.70311273,0.172530725,-0.049164436
5218,M.tener,Mt20,30.63,-96.33,Brazos,Texas,0.465340066,0.357577099,58.28381641,65.19952099,1.167983429,1.100715718
5215,M.tener,Mt21,32.23,-94.32,Panola,Texas,0.451853528,0.388224346,52.20401869,56.79739947,0.644955016,0.466281692
5213,M.tener,Mt22,31.33,-94.88,Houston,Texas,0.445141857,0.362144372,40.92025206,45.68035637,0.882099346,0.783032443
7041,M.tener,Mt23,30.8,-96.37,Brazos,Texas,0.439043072,0.375212686,66.08680064,71.07072644,0.655096137,0.508233943
7056,M.tener,Mt24,26.78,-97.77,Kenedy,Texas,0.369188086,0.480526451,61.97670475,67.38373172,-1.410986162,-1.960317596
4729,M.tener,Mt25,30.67,-96.26,Brazos,Texas,0.387831424,0.437262684,55.55624089,60.69779634,-0.677161197,-1.069554974
4744,M.tener,Mt26,26.78,-97.77,Kenedy,Texas,0.359028365,0.429874889,84.29470742,87.79424386,-0.917539702,-1.30986
4730,M.tener,Mt27,31.32,-95.45,Houston,Texas,0.504333297,0.341057629,51.6963249,55.42553908,1.812588084,1.831875995
